Wavelength (nm);P-Polarized;S-Polarized;;;
250;2,062280327;2,133920699;;;
251;2,015445491;2,097297437;;;
252;2,042005565;2,120493256;;;
253;2,38841027;2,041608699;;;
254;2,30501011;2,065642849;;;
255;2,47038883;2,175816223;;;
256;2,409186781;2,033531517;;;
257;2,178169027;2,000531612;;;
258;2,097162761;2,266504586;;;
259;2,117370769;2,136547133;;;
260;2,156465098;2,059715945;;;
261;2,15248698;2,077718079;;;
262;2,104182005;2,077585161;;;
263;2,542309046;2,194857076;;;
264;2,402335733;2,251614362;;;
265;2,076360337;2,088704228;;;
266;2,375973523;2,510612011;;;
267;2,014856427;2,029894222;;;
268;2,398650706;2,066727735;;;
269;2,095218703;2,193272397;;;
270;2,418906599;2,47264877;;;
271;2,150165319;2,121494383;;;
272;2,718784154;2,200299203;;;
273;2,305496067;2,399189919;;;
274;2,632726848;2,231310159;;;
275;2,181716055;2,138822064;;;
276;2,140639439;2,176683039;;;
277;2,215853468;2,055563629;;;
278;2,433998078;2,521281898;;;
279;2,709415317;2,221401423;;;
280;2,261561126;2,399495602;;;
281;2,368264228;2,221630052;;;
282;2,108781889;2,130336493;;;
283;2,003041932;2,028952274;;;
284;2,250630468;2,236674681;;;
285;2,127378404;2,060240466;;;
286;2,245530739;2,373061389;;;
287;2,663850069;2,67836535;;;
288;2,006084612;2,063254297;;;
289;2,088718317;2,554053366;;;
290;2,409371734;2,182717145;;;
291;2,10234341;2,124322414;;;
292;2,078824438;2,110558957;;;
293;2,035233814;2,399132341;;;
294;2,272490323;2,195344776;;;
295;2,22537376;2,152258128;;;
296;2,098364115;2,082616329;;;
297;2,152332529;2,42054975;;;
298;2,070080578;2,478979707;;;
299;2,219900206;2,381259978;;;
300;2,065717191;2,804982305;;;
301;2,200390518;2,512907386;;;
302;2,966391623;3,511547565;;;
303;2,685959697;3,657729745;;;
304;2,995686472;3,949562073;;;
305;2,873942494;4,074816465;;;
306;2,940060973;4,872653723;;;
307;3,606389523;5,273728848;;;
308;3,690158606;6,320722103;;;
309;3,908635378;7,180126667;;;
310;4,006182909;6,255194187;;;
311;3,752175808;7,114029884;;;
312;3,925838351;7,163223743;;;
313;4,568300962;7,937520027;;;
314;4,973572254;8,781692028;;;
315;5,155007601;8,566583157;;;
316;4,700353622;7,980220318;;;
317;5,082966328;8,069240093;;;
318;4,718319178;7,299102306;;;
319;5,014006376;6,913693905;;;
320;5,147243023;6,704410553;;;
321;6,032083988;6,883746147;;;
322;5,850835085;6,645510197;;;
323;5,796368361;6,465155602;;;
324;6,313514233;5,996289253;;;
325;5,839961529;6,141828537;;;
326;5,888626337;5,619378805;;;
327;5,349079847;5,210492849;;;
328;5,264635086;5,16395092;;;
329;5,633026361;4,613738775;;;
330;5,002563238;4,908575535;;;
331;5,254961491;5,264912605;;;
332;4,886370659;4,231937885;;;
333;4,65919733;4,414063454;;;
334;4,995924473;4,53525424;;;
335;4,634124756;4,260882378;;;
336;4,526538849;4,142587185;;;
337;4,374050856;4,030363321;;;
338;4,686792135;4,511098623;;;
339;4,680873632;4,81780982;;;
340;4,44069171;4,054071426;;;
341;4,415869236;4,459121704;;;
342;4,59693718;4,139937162;;;
343;4,679633141;4,689706087;;;
344;4,516233444;4,751353025;;;
345;4,822003841;4,72017765;;;
346;4,741910696;4,47456789;;;
347;5,132858515;5,054021597;;;
348;5,244690895;5,219112873;;;
349;5,197482109;5,108804941;;;
350;5,380119801;5,265846491;;;
351;5,65566659;5,772875786;;;
352;5,799046993;5,82957077;;;
353;6,068637848;6,193249226;;;
354;6,293834209;6,270997524;;;
355;6,722560883;6,666011333;;;
356;6,918875694;7,029284;;;
357;7,444822311;7,532250881;;;
358;7,717694283;7,905572414;;;
359;8,262934208;8,195724487;;;
360;8,75289917;8,682292461;;;
361;9,289254665;9,369837284;;;
362;9,723915577;9,782008648;;;
363;10,39759445;10,43149471;;;
364;11,09308434;11,40831184;;;
365;11,82598782;11,86570644;;;
366;12,68123913;12,6276741;;;
367;13,53563118;13,43859959;;;
368;14,43581772;14,5000391;;;
369;15,2928791;15,66275692;;;
370;16,29792213;16,29709339;;;
371;17,36007404;17,74529076;;;
372;18,44550705;18,76633453;;;
373;19,55615425;19,97957802;;;
374;20,75803566;21,0782032;;;
375;21,9232502;22,28184128;;;
376;23,14103317;23,62492561;;;
377;24,38538933;24,85000038;;;
378;25,59597015;26,12768173;;;
379;26,8791523;27,39858437;;;
380;28,20377159;28,79439735;;;
381;29,3198185;29,98498917;;;
382;30,51973534;31,22181511;;;
383;31,74319077;32,446661;;;
384;32,85569954;33,67757607;;;
385;33,78525543;34,64156342;;;
386;34,86748886;35,71155548;;;
387;35,72766495;36,70817947;;;
388;36,60527802;37,50042725;;;
389;37,41204834;38,32449722;;;
390;38,14748383;39,08592606;;;
391;38,76573181;39,73516846;;;
392;39,38366318;40,37185669;;;
393;39,89971924;40,82263947;;;
394;40,33210754;41,12995148;;;
395;40,76651764;41,61242676;;;
396;41,08209991;41,9349556;;;
397;41,37879944;42,30693054;;;
398;41,62368774;42,51472092;;;
399;41,85855865;42,76331329;;;
400;42,0914241;42,87927151;;;
401;42,13679123;42,89165878;;;
402;42,19921494;42,89923096;;;
403;42,27912903;43,00785446;;;
404;42,35748672;43,063591;;;
405;42,40275574;43,08512115;;;
406;42,38577271;43,10298157;;;
407;42,37298584;42,98184204;;;
408;42,37014008;42,9700737;;;
409;42,32266617;42,84333038;;;
410;42,30693054;42,79631805;;;
411;42,28368759;42,79193878;;;
412;42,23266602;42,78480148;;;
413;42,18886566;42,78574371;;;
414;42,13927841;42,70946121;;;
415;42,09507751;42,61160278;;;
416;42,04120255;42,49280548;;;
417;42,00807953;42,44384384;;;
418;41,92778015;42,3505249;;;
419;41,87507248;42,35595322;;;
420;41,80692291;42,41128922;;;
421;41,79295349;42,37502289;;;
