Wavelength (nm);P-Polarized;S-Polarized;;;
250;0,69743439;0,688271802;;;
251;0,738552533;0,3738403;;;
252;0,1790924;0,0379486;;;
253;0,5126343;0,732638933;;;
254;0,2387695;0,670996227;;;
255;0,09645844;0,1180687;;;
256;0,498095483;0,38861841;;;
257;0,736002852;0,702527258;;;
258;0,704947723;0,741170553;;;
259;0,731934958;0,488897592;;;
260;0,691110601;0,679280223;;;
261;0,690888302;0,723729445;;;
262;0,729886005;0,679196391;;;
263;0,735068192;0,720608323;;;
264;0,704941072;0,033054266;;;
265;0,718508474;0,707314173;;;
266;0,671792091;0,734645632;;;
267;0,742190834;0,749132912;;;
268;0,677529641;0,707658907;;;
269;0,674527707;0,247336552;;;
270;0,430188894;0,319632322;;;
271;0,680013305;0,684866476;;;
272;0,669834983;0,618600965;;;
273;0,693037386;0,744303592;;;
274;0,731584562;0,518956959;;;
275;0,743192165;0,660089433;;;
276;0,691228936;0,709519222;;;
277;0,673277154;0,531217158;;;
278;0,697672477;0,728196132;;;
279;0,681530206;0,703503434;;;
280;0,747477468;0,261576891;;;
281;0,482598424;0,710042123;;;
282;0,699962842;0,736795808;;;
283;0,726088058;0,746157382;;;
284;0,700646854;0,702167179;;;
285;0,745066534;0,738262951;;;
286;0,734913436;0,697218805;;;
287;0,698183166;0,72612806;;;
288;0,67428105;0,737986707;;;
289;0,712923037;0,681542918;;;
290;0,70639722;0,669651952;;;
291;0,718527713;0,719719074;;;
292;0,685849405;0,716808684;;;
293;0,715912572;0,732524813;;;
294;0,736669135;0,744000029;;;
295;0,698437182;0,688048737;;;
296;0,73215564;0,743118618;;;
297;0,159461826;0,680424767;;;
298;0,708486279;0,734264703;;;
299;0,075682998;0,229433224;;;
300;0,745049773;0,696302043;;;
301;0,713732243;0,682965299;;;
302;0,695062908;0,715109329;;;
303;0,716827662;0,724628794;;;
304;0,667560431;0,037775792;;;
305;0,695508054;0,708176304;;;
306;0,702097246;0,682797589;;;
307;0,743901596;0,104667388;;;
308;0,693570454;0,679763553;;;
309;0,682616282;0,719916223;;;
310;0,691902405;0,661072195;;;
311;0,669638261;0,721698868;;;
312;0,74696161;0,67020078;;;
313;0,723652505;0,709348688;;;
314;0,734866529;0,720525155;;;
315;0,712920426;0,683699937;;;
316;0,71288889;0,679027214;;;
317;0,670145048;0,734173178;;;
318;0,7142515;0,727982445;;;
319;0,689189279;0,395703793;;;
320;0,719784584;0,682319523;;;
321;0,544577479;0,026121503;;;
322;0,681426257;0,463572621;;;
323;0,713989621;0,73714155;;;
324;0,669111801;0,705796311;;;
325;0,67381035;0,702626009;;;
326;0,71095862;0,58022815;;;
327;0,69105872;0,686059795;;;
328;0,673669718;0,718257291;;;
329;0,735682508;0,696307593;;;
330;0,731224691;0,158094168;;;
331;2,105344534;2,248576164;;;
332;1,666132927;0,670583904;;;
333;0,859509528;0,482462615;;;
334;1,83169806;1,493347764;;;
335;2,172001839;0,700366974;;;
336;1,140817881;1,114914894;;;
337;3,119929314;2,126520395;;;
338;2,366867781;1,823689938;;;
339;3,075363398;3,590099573;;;
340;2,948665857;2,988656759;;;
341;2,430181742;1,14722991;;;
342;2,661112785;1,006818414;;;
343;2,668840885;2,06181097;;;
344;3,03130579;2,191970587;;;
345;3,327141285;1,935304165;;;
346;3,757799387;1,798299193;;;
347;4,724299431;4,25473547;;;
348;4,902380943;3,317217827;;;
349;5,102160454;3,832134247;;;
350;5,506672859;4,074470997;;;
351;6,364748478;5,020377636;;;
352;7,001319408;4,933075428;;;
