Wavelength (nm);% Transmission;% Reflectance
250;0.717865006;7.286292553
251;0.564974025;7.44939971
252;0.958508134;8.494571209
253;0.175040079;8.929955483
254;0.952997387;10.82109451
255;0.17098859;10.81724405
256;0.35163686;11.91298962
257;0.764110484;14.10323572
258;0.343940079;14.90036249
259;0.19384434;15.95352936
260;0.214000559;17.6371851
261;0.195072551;19.62906933
262;0.250793572;21.87576485
263;0.385185054;23.96656418
264;0.108155552;26.01897717
265;0.986702144;29.13827133
266;0.150794163;31.31046963
267;0.964568079;33.88092423
268;0.270872921;36.20632744
269;0.870796085;39.32533646
270;0.333366074;42.6083355
271;0.666377455;46.16224099
272;0.471211654;47.19856263
273;0.807674734;49.09759712
274;0.667652421;52.03831673
275;1.874701679;55.2390995
276;3.671212912;57.07850266
277;0.441931156;59.32480812
278;0.411287656;62.17012596
279;1.006977335;63.95543289
280;0.291648399;66.2091713
281;0.473271977;71.1072464
282;0.102914576;71.70985032
283;0.252911084;67.64525986
284;0.36466242;67.09556198
285;1.401622713;65.57488251
286;1.125445387;58.72176934
287;0.261376214;54.94628334
288;0.246183863;48.93519211
289;0.356015348;48.05662728
290;0.328763893;46.45201874
291;0.272627362;43.48181534
292;0.219996656;39.35044384
293;0.410021169;39.19073582
294;0.598598918;39.22334862
295;0.373163559;40.50594139
296;1.320816696;45.04814148
297;2.733512361;49.79860878
298;3.293283224;53.98760223
299;3.25420475;57.8828106
300;6.216346503;62.40984154
301;8.808568479;64.70877457
302;15.6428132;65.57666016
303;18.10985184;59.89893151
304;20.80814457;54.02894593
305;28.3987608;48.3950634
306;33.02902222;41.3385067
307;36.40923786;38.45684528
308;37.67425537;37.07154656
309;39.4170723;41.7218132
310;39.76628113;46.35296154
311;35.585392;51.35188866
312;34.54547692;53.1469326
313;35.04447651;57.42246628
314;35.08307267;55.06201363
315;35.00068569;53.47243691
316;34.05822564;54.13573265
317;34.28030873;54.21557236
318;38.63171292;55.12589264
319;40.89515591;54.51813126
320;37.55119705;53.57301521
321;38.81800652;55.18302918
322;40.16918469;55.78539086
323;40.53656292;56.22015954
324;37.92044068;56.92415619
325;38.25355339;56.61612892
326;37.61360932;57.15634728
327;37.69137764;57.30319024
328;38.60220528;57.40295792
329;37.10716153;56.3822937
330;38.72034932;58.2187748
331;39.02644825;59.1217041
332;37.51325989;58.18601227
333;37.14835167;59.53380394
334;36.8063345;59.20347786
335;37.2161417;59.87847519
336;37.2245903;58.16359711
337;38.63320732;57.64083481
338;40.27709484;58.01198388
339;39.68739701;57.27647973
340;39.87918663;57.11172486
341;40.83191967;56.55110741
342;40.70225525;56.67045021
343;40.12426281;58.0894909
344;34.5987053;62.78678704
345;29.63026619;67.24900246
346;24.54676152;74.16402817
347;19.94062114;78.51448059
348;15.87374544;82.12186432
349;14.73714924;83.81508637
350;12.94116998;83.83909607
351;14.56079268;83.97035599
352;17.20585513;82.8731041
353;20.4695282;79.43214989
354;22.66714978;76.19856263
355;24.30948681;75.09769249
356;26.74675369;72.2757988
357;29.03719649;69.71457672
358;31.59077639;67.62727356
359;31.70909375;67.46174622
360;28.39610195;70.03800965
361;23.65681216;75.71758843
362;18.13048554;81.93094635
363;11.43251329;87.32772065
364;7.7815502;91.01644135
365;5.635203841;94.21432495
366;3.745764017;94.86780548
367;2.608432297;96.08451081
368;1.857124359;97.25899506
369;1.149087476;97.37441635
370;0.805463679;97.7900238
371;0.794081118;98.4806366
372;1.025603444;98.3605957
373;0.778218806;98.89964295
374;0.407876388;98.60249329
375;0.301970393;98.80781937
376;0.31201347;99.29663086
377;0.332676839;99.08992767
378;0.462670997;98.86223603
379;0.200281226;98.9023285
380;0.157905523;98.71891022
381;0.226019167;98.7328682
382;0.355844728;98.87263489
383;0.085701877;99.10187531
384;0.15242146;98.87272263
385;0.114591278;99.02882004
386;0.186283875;98.73917389
387;0.113026975;99.062706
388;0.010593893;98.91811371
389;0.045893049;99.00033569
390;0.393051267;98.94717408
391;0.232360817;98.92796326
392;0.246261123;99.09831238
393;0.191945069;98.76420212
394;0.102417153;99.10353852
395;0.15096228;99.05630875
396;0.164873514;99.07092285
397;0.199222415;99.07769013
398;0.136015644;99.1400528
399;0.086386724;98.9727211
400;0.097722805;98.92091751
401;0.073887054;99.00164032
402;0.075177541;98.93125153
403;0.130099852;99.03947067
404;0.198496379;98.95524216
405;0.098175938;98.93651581
406;0.092458749;99.00876617
407;0.227050275;99.01243973
408;0.356559769;98.92486954
409;0.081498324;98.93572617
410;0.06986119;99.01540375
411;0.147530861;99.02437211
