? (nm);T (%);? (nm);OD
200;2.57336E-06;200;7.5895
200.2;1.61957E-06;200.2;7.7906
200.4;2.22485E-06;200.4;7.6527
200.6;6.73597E-06;200.6;7.1716
200.8;5.77564E-05;200.8;6.2384
201;0.000170923;201;5.7672
201.2;0.000290603;201.2;5.5367
201.4;0.000856249;201.4;5.0674
201.6;0.001387395;201.6;4.8578
201.8;0.000989008;201.8;5.0048
202;0.000781808;202;5.1069
202.2;0.002161723;202.2;4.6652
202.4;0.003965519;202.4;4.4017
202.6;0.001301068;202.6;4.8857
202.8;0.00027842;202.8;5.5553
203;0.000185909;203;5.7307
203.2;0.000206728;203.2;5.6846
203.4;0.000409072;203.4;5.3882
203.6;0.000184587;203.6;5.7338
203.8;8.22053E-05;203.8;6.0851
204;6.48933E-05;204;6.1878
204.2;8.44501E-05;204.2;6.0734
204.4;3.29534E-05;204.4;6.4821
204.6;2.07444E-05;204.6;6.6831
204.8;4.75554E-05;204.8;6.3228
205;0.000256035;205;5.5917
205.2;3.93007E-05;205.2;6.4056
205.4;1.02683E-05;205.4;6.9885
205.6;6.346E-06;205.6;7.1975
205.8;5.17011E-06;205.8;7.2865
206;6.16737E-07;206;8.2099
206.2;2.91407E-07;206.2;8.5355
206.4;6.21441E-07;206.4;8.2066
206.6;5.87625E-07;206.6;8.2309
206.8;9.06776E-07;206.8;8.0425
207;7.91225E-07;207;8.1017
207.2;5.53095E-09;207.2;10.2572
207.4;3.20184E-10;207.4;11.4946
207.6;6.31684E-11;207.6;12.1995
207.8;3.54813E-11;207.8;12.45
208;7.83791E-11;208;12.1058
208.2;9.2045E-12;208.2;13.036
208.4;1.45848E-12;208.4;13.8361
208.6;6.13197E-13;208.6;14.2124
208.8;5.11446E-13;208.8;14.2912
209;8.16206E-13;209;14.0882
209.2;2.74979E-12;209.2;13.5607
209.4;1.7362E-11;209.4;12.7604
209.6;7.9873E-12;209.6;13.0976
209.8;4.80286E-12;209.8;13.3185
210;6.71274E-12;210;13.1731
210.2;8.87769E-13;210.2;14.0517
210.4;2.78676E-13;210.4;14.5549
210.6;2.50323E-13;210.6;14.6015
210.8;7.17133E-13;210.8;14.1444
211;6.18586E-13;211;14.2086
211.2;1.87802E-13;211.2;14.7263
211.4;1.86037E-13;211.4;14.7304
211.6;5.85599E-13;211.6;14.2324
211.8;1.35957E-12;211.8;13.8666
212;4.36415E-13;212;14.3601
212.2;3.33043E-13;212.2;14.4775
212.4;3.01231E-13;212.4;14.5211
212.6;3.0669E-13;212.6;14.5133
212.8;5.28324E-13;212.8;14.2771
213;1.92309E-12;213;13.716
213.2;9.83105E-12;213.2;13.0074
213.4;9.73195E-12;213.4;13.0118
213.6;4.80839E-12;213.6;13.318
213.8;5.96348E-12;213.8;13.2245
214;3.10313E-12;214;13.5082
214.2;8.57038E-13;214.2;14.067
214.4;6.28637E-13;214.4;14.2016
214.6;1.14578E-12;214.6;13.9409
214.8;4.66122E-12;214.8;13.3315
215;6.13903E-12;215;13.2119
215.2;8.63973E-12;215.2;13.0635
215.4;9.1601E-12;215.4;13.0381
215.6;2.60856E-12;215.6;13.5836
215.8;1.62555E-12;215.8;13.789
216;1.90985E-12;216;13.719
216.2;4.47198E-12;216.2;13.3495
216.4;1.03252E-11;216.4;12.9861
216.6;2.59657E-12;216.6;13.5856
216.8;1.31826E-12;216.8;13.88
217;1.33291E-12;217;13.8752
217.2;2.34801E-12;217.2;13.6293
217.4;7.00003E-12;217.4;13.1549
217.6;3.38376E-11;217.6;12.4706
217.8;1.66456E-10;217.8;11.7787
218;3.45303E-10;218;11.4618
218.2;4.94197E-10;218.2;11.3061
218.4;8.30233E-10;218.4;11.0808
218.6;9.7051E-10;218.6;11.013
218.8;8.32147E-10;218.8;11.0798
219;1.21116E-09;219;10.9168
219.2;3.66944E-09;219.2;10.4354
219.4;6.2431E-09;219.4;10.2046
219.6;3.56944E-09;219.6;10.4474
219.8;3.80102E-09;219.8;10.4201
220;7.54571E-09;220;10.1223
220.2;2.61216E-08;220.2;9.583
220.4;1.48081E-07;220.4;8.8295
220.6;1.01228E-06;220.6;7.9947
220.8;5.3064E-06;220.8;7.2752
221;2.1707E-05;221;6.6634
221.2;6.78891E-05;221.2;6.1682
221.4;0.000221513;221.4;5.6546
221.6;0.001163054;221.6;4.9344
221.8;0.013743584;221.8;3.8619
222;0.086876037;222;3.0611
222.2;0.211008524;222.2;2.6757
222.4;0.334272;222.4;2.4759
222.6;0.087518527;222.6;3.0579
222.8;0.003239664;222.8;4.4895
223;0.000298951;223;5.5244
223.2;7.52662E-05;223.2;6.1234
223.4;2.57632E-05;223.4;6.589
223.6;3.97924E-06;223.6;7.4002
223.8;7.60677E-07;223.8;8.1188
224;2.6339E-07;224;8.5794
224.2;1.56027E-07;224.2;8.8068
224.4;1.44079E-07;224.4;8.8414
224.6;1.55489E-07;224.6;8.8083
224.8;1.2297E-07;224.8;8.9102
225;8.64769E-08;225;9.0631
225.2;7.52489E-08;225.2;9.1235
225.4;8.25468E-08;225.4;9.0833
225.6;9.36052E-08;225.6;9.0287
225.8;6.46398E-08;225.8;9.1895
226;3.49301E-08;226;9.4568
226.2;2.70832E-08;226.2;9.5673
226.4;3.59087E-08;226.4;9.4448
226.6;6.60085E-08;226.6;9.1804
