Wavelength (nm);% Transmission
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;0
251;0
252;0.00001
253;0.00002
254;0.00005
255;0.00009
256;0.00015
257;0.00026
258;0.00034
259;0.00039
260;0.00051
261;0.0007
262;0.00075
263;0.00063
264;0.00074
265;0.00092
266;0.00067
267;0.00075
268;0.00121
269;0.00196
270;0.00225
271;0.00251
272;0.00209
273;0.00144
274;0.00083
275;0.00021
276;0.00003
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0
298;0
299;0.00001
300;0.00004
301;0.00018
302;0.00045
303;0.00112
304;0.00231
305;0.00607
306;0.00723
307;0.00518
308;0.00272
309;0.0031
310;0.00343
311;0.0028
312;0.00215
313;0.00093
314;0.00058
315;0.0005
316;0.00031
317;0.00063
318;0.00003
319;0.00001
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0.00002
350;0.00017
351;0.00169
352;0.00009
353;0.00129
354;0.00126
355;0.00098
356;0.00609
357;0.00061
358;0.00149
359;0.00067
360;0.00086
361;0.00019
362;0.00114
363;0.01169
364;0.00674
365;0.00526
366;0.00037
367;0.00042
368;0.01899
369;0.00999
370;0.0112
371;0.00081
372;0.00027
373;0.00382
374;0.00023
375;0.00027
376;0.01256
377;0.02443
378;0.00007
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0.00001
402;0.00001
403;0.00001
404;0.00009
405;0.00252
406;0.00014
407;0.00007
408;0.0001
409;0.00056
410;0.03043
411;0.00585
412;0.02503
413;0.01803
414;0.01032
415;0.00581
416;0.01259
417;0.03444
418;0.01076
419;0.00811
420;0.01242
421;0.01172
422;0.00641
423;0.00804
424;0.00536
425;0.00447
426;0.01042
427;0.00194
428;0.00099
429;0.00148
430;0.00129
431;0.00059
432;0.00057
433;0.00071
434;0.00045
435;0.00036
436;0.00062
437;0.0022
438;0.00282
439;0.00253
440;0.00628
441;0.02826
442;0.01863
443;0.01655
444;0.00644
445;0.00252
446;0.00197
447;0.00262
448;0.00137
449;0.0005
450;0.00034
451;0.00041
452;0.00072
453;0.00076
454;0.00066
455;0.00103
456;0.00276
457;0.0041
458;0.00748
459;0.0046
460;0.00089
461;0.0005
462;0.00058
463;0.00078
464;0.0005
465;0.00034
466;0.00038
467;0.00067
468;0.00109
469;0.00128
470;0.00236
471;0.02023
472;0.01463
473;0.00489
474;0.00227
475;0.00057
476;0.00021
477;0.00013
478;0.00013
