Wavelength (nm);Optical Density;% Transmission
200;6,070624;8,49916E-05
201;6,075914;8,39626E-05
202;6,0229;9,48637E-05
203;6,01333;9,69773E-05
204;6,003255;9,92533E-05
205;6,053577;8,8394E-05
206;6,047967;8,95433E-05
207;5,993247;0,000101567
208;5,961598;0,000109245
209;5,961391;0,000109297
210;5,983178;0,000103949
211;5,988011;0,000102799
212;5,978362;0,000105109
213;5,987393;0,000102945
214;5,99622;0,000100874
215;5,99604;0,000100916
216;6,020137;9,54691E-05
217;6,024967;9,44133E-05
218;5,986063;0,000103261
219;5,96791;0,000107669
220;5,950336;0,000112115
221;5,981106;0,000104447
222;6,034693;9,23224E-05
223;5,985872;0,000103307
224;5,934005;0,000116411
225;5,963894;0,000108669
226;5,938609;0,000115184
227;5,888287;0,000129334
228;5,943341;0,000113935
229;5,978697;0,000105027
230;5,961136;0,000109361
231;5,931933;0,000116968
232;5,936269;0,000115806
233;5,948966;0,000112469
234;5,962123;0,000109113
235;5,957967;0,000110162
236;5,937105;0,000115583
237;5,92496;0,000118861
238;5,953928;0,000111192
239;5,962325;0,000109062
240;5,92913;0,000117725
241;5,937335;0,000115522
242;5,966847;0,000107933
243;5,975838;0,000105721
244;5,962487;0,000109022
245;5,933187;0,000116631
246;5,945682;0,000113323
247;5,95844;0,000110042
248;5,954378;0,000111076
249;5,962883;0,000108922
250;5,958804;0,00010995
251;5,950542;0,000112062
252;5,938334;0,000115257
253;5,963815;0,000108689
254;6,005046;9,88448E-05
255;5,990971;0,000102101
256;5,982189;0,000104186
257;5,951898;0,000111713
258;5,935207;0,00011609
259;5,947537;0,00011284
260;5,982271;0,000104167
261;5,964648;0,000108481
262;5,930976;0,000117226
263;5,955706;0,000110737
264;5,934754;0,000116211
265;5,914731;0,000121694
266;5,930471;0,000117362
267;5,999876;0,000100029
268;5,938237;0,000115282
269;5,918063;0,000120764
270;5,918113;0,00012075
271;5,910135;0,000122989
272;5,917877;0,000120816
273;5,946134;0,000113205
274;5,94606;0,000113224
275;5,972227;0,000106604
276;5,950527;0,000112066
277;5,942117;0,000114257
278;5,98575;0,000103336
279;5,946628;0,000113076
280;5,955296;0,000110842
281;5,934617;0,000116247
282;5,915032;0,00012161
283;5,947332;0,000112893
284;5,943355;0,000113932
285;5,939248;0,000115014
286;6,00587;9,86575E-05
287;5,943779;0,000113821
288;5,956644;0,000110498
289;5,961134;0,000109362
290;5,92018;0,000120177
291;5,932408;0,00011684
292;5,961788;0,000109197
293;5,945034;0,000113492
294;5,975056;0,000105912
295;5,984196;0,000103706
296;5,949801;0,000112253
297;5,966923;0,000107914
298;5,980313;0,000104637
299;5,962996;0,000108894
300;5,926292;0,000118497
301;5,903426;0,000124903
302;5,930523;0,000117348
303;5,959573;0,000109756
304;5,947126;0,000112947
305;5,943266;0,000113955
306;5,951775;0,000111744
307;5,947714;0,000112794
308;5,923709;0,000119204
309;5,940042;0,000114804
310;5,987409;0,000102942
311;5,987781;0,000102853
312;5,978957;0,000104965
313;5,997194;0,000100648
314;5,953469;0,000111309
315;5,93721;0,000115555
316;5,89535;0,000127248
317;5,881129;0,000131483
318;5,903211;0,000124965
319;5,922304;0,00011959
320;5,954374;0,000111077
321;5,980592;0,00010457
322;6,022583;9,4933E-05
323;5,980707;0,000104543
324;6,00376;9,9138E-05
325;6,027751;9,381E-05
326;5,994798;0,000101205
327;6,033076;9,26668E-05
328;5,951501;0,000111815
329;5,990979;0,000102099
330;6,014254;9,67712E-05
331;5,865996;0,000136146
332;5,70157;0,000198806
333;5,704387;0,000197521
334;5,81534;0,000152989
335;5,969647;0,000107239
336;6,034372;9,23906E-05
337;5,969909;0,000107174
338;5,974335;0,000106088
339;6,001348;9,96901E-05
340;6,015367;9,65235E-05
341;5,953789;0,000111227
342;6,015923;9,64E-05
343;5,988296;0,000102732
344;6,040786;9,10362E-05
345;5,988602;0,000102659
346;5,971366;0,000106815
347;5,962967;0,000108901
348;6,002885;9,93379E-05
349;5,989216;0,000102514
350;5,963514;0,000108764
351;5,886562;0,000129849
352;5,998851;0,000100265
353;6,008225;9,81239E-05
354;6,027377;9,38908E-05
355;5,939519;0,000114943
356;5,927864;0,000118069
357;5,890913;0,000128554
358;5,924213;0,000119066
359;5,990628;0,000102181
360;5,928512;0,000117893
361;5,964963;0,000108402
362;5,956719;0,000110479
363;5,913612;0,000122008
364;5,924977;0,000118857
365;5,944798;0,000113554
366;5,902703;0,000125111
367;5,982621;0,000104083
368;5,949122;0,000112429
369;5,906862;0,000123919
370;5,874957;0,000133365
371;5,817493;0,000152232
372;5,700057;0,0001995
373;5,761515;0,000173175
374;5,903514;0,000124878
375;5,922535;0,000119527
376;5,833313;0,000146787
377;5,839351;0,00014476
378;5,812104;0,000154133
379;5,939389;0,000114977
380;5,982863;0,000104025
381;5,933722;0,000116487
382;6,014779;9,66543E-05
383;6,080514;8,3078E-05
384;5,992422;0,00010176
385;6,001623;9,9627E-05
386;6,010959;9,75082E-05
387;6,01581;9,64251E-05
388;6,011476;9,73922E-05
389;6,002366;9,94567E-05
390;6,00246;9,94352E-05
391;6,026104;9,41664E-05
392;5,994112;0,000101365
393;5,936285;0,000115802
394;6,012599;9,71406E-05
395;5,994589;0,000101254
396;5,956612;0,000110507
397;5,372741897;0,000423895
398;5,099034438;0,000796096
399;5,020871616;0,000953078
400;5,017746198;0,000959961
401;5,048548;0,000894236
402;5,131775867;0,000738285
403;5,461226222;0,000345759
404;5,915868;0,000121376
405;5,942689;0,000114107
406;5,942882;0,000114056
407;5,939298;0,000115001
408;5,821378;0,000150877
409;5,606987;0,00024718
410;5,585985;0,000259427
411;5,807308;0,000155845
412;5,889145;0,000129079
413;5,956311;0,000110583
414;5,968702;0,000107473
415;5,99892;0,000100249
416;5,933439;0,000116563
417;5,981833;0,000104272
418;5,990592;0,00010219
419;5,986526;0,000103151
420;5,969903;0,000107176
421;5,991394;0,000102001
422;6,023009;9,48399E-05
423;6,000347;9,99201E-05
424;5,905493;0,00012431
425;5,935258;0,000116076
426;6,001152;9,97351E-05
427;5,955139;0,000110882
428;5,967416;0,000107791
429;5,975832;0,000105723
430;5,939932;0,000114833
431;6,011031;9,7492E-05
432;6,029817;9,33648E-05
433;5,985143;0,00010348
434;6,044518;9,02572E-05
435;5,994075;0,000101374
436;6,007522;9,82829E-05
437;6,030592;9,31983E-05
438;5,949174;0,000112415
439;6,055342;8,80355E-05
440;6,021877;9,50874E-05
441;5,934383;0,00011631
442;5,927128;0,000118269
443;5,958094;0,00011013
444;5,95818;0,000110108
445;5,950531;0,000112065
446;5,943111;0,000113996
447;5,996473;0,000100815
448;6,028196;9,37139E-05
449;5,955598;0,000110765
450;5,921783;0,000119734
451;5,89369;0,000127735
452;5,952382;0,000111588
453;5,976892;0,000105465
454;5,960834;0,000109437
455;5,912064;0,000122444
456;5,884761;0,000130388
457;5,930826;0,000117267
458;5,920019;0,000120221
459;6,045277;9,00996E-05
460;6,148475;7,10436E-05
461;6,017583;9,60322E-05
462;6,01779;9,59865E-05
463;6,041223;9,09446E-05
464;6,086598;8,19223E-05
465;5,996172;0,000100885
466;6,056272;8,78472E-05
467;5,959493;0,000109776
468;6,018659;9,57946E-05
469;6,032576;9,27735E-05
470;6,098047;7,97908E-05
471;6,001282;9,97052E-05
472;6,09823;7,97572E-05
473;6,061871;8,67219E-05
