Wavelength (nm);Optical Density;% Transmission
200;6.0913845;8.10243E-05
201;6.080239;8.31306E-05
202;6.055791778;8.79444E-05
203;6.041116667;9.09669E-05
204;6.032127556;9.28694E-05
205;6.037457667;9.17365E-05
206;6.028850111;9.35729E-05
207;6.040395;9.11182E-05
208;5.991075;0.000102076
209;6.05067;8.89877E-05
210;6.029349;9.34654E-05
211;5.949819;0.000112249
212;6.044455;9.02703E-05
213;5.984951;0.000103526
214;5.966572;0.000108001
215;6.007995;9.81759E-05
216;6.022648;9.49187E-05
217;6.048516;8.94302E-05
218;5.974533;0.000106039
219;6.027645;9.38329E-05
220;5.984107;0.000103727
221;5.97927;0.000104889
222;5.965705;0.000108217
223;5.988721;0.000102631
224;5.916082;0.000121316
225;5.924354;0.000119027
226;5.89734;0.000126666
227;5.913053;0.000122165
228;5.921337;0.000119857
229;5.981444;0.000104365
230;6.029962;9.33336E-05
231;5.959823;0.000109693
232;5.9309;0.000117247
233;5.91116;0.000122699
234;5.919044;0.000120491
235;5.939366;0.000114983
236;5.923342;0.000119305
237;5.931353;0.000117124
238;5.956427;0.000110554
239;5.978627;0.000105044
240;5.978512;0.000105072
241;5.900055;0.000125877
242;5.903921;0.000124761
243;5.969542;0.000107265
244;5.927427;0.000118188
245;5.908008;0.000123592
246;5.915715;0.000121419
247;5.956651;0.000110497
248;5.944146;0.000113724
249;5.908345;0.000123497
250;5.878977;0.000132137
251;5.928511;0.000117893
252;5.949268;0.000112391
253;5.925049;0.000118837
254;5.921296;0.000119868
255;5.937377;0.000115511
256;5.925334;0.000118759
257;5.913829;0.000121947
258;5.884143;0.000130574
259;5.895197;0.000127293
260;5.942165;0.000114244
261;5.925954;0.000118589
262;5.895015;0.000127346
263;5.873224;0.000133899
264;5.883982;0.000130623
265;5.91386;0.000121938
266;5.906023;0.000124159
267;5.887143;0.000129675
268;5.85188;0.000140644
269;5.855224;0.000139565
270;5.901494;0.00012546
271;5.928786;0.000117819
272;5.917044;0.000121048
273;5.91302;0.000122174
274;5.886653;0.000129822
275;5.905398;0.000124337
276;5.945339;0.000113413
277;5.971246;0.000106845
278;5.994109;0.000101366
279;5.94589;0.000113269
280;5.954605;0.000111018
281;5.989982;0.000102334
282;5.950407;0.000112097
283;5.954962;0.000110927
284;5.926325;0.000118488
285;5.891906;0.000128261
286;5.907345;0.000123781
287;5.935042;0.000116134
288;5.915173;0.00012157
289;5.885354;0.00013021
290;5.854239;0.000139882
291;5.904399;0.000124624
292;5.978421;0.000105094
293;5.956878;0.000110439
294;5.928104;0.000118004
295;5.901458;0.000125471
296;5.92081;0.000120002
297;5.945048;0.000113489
298;5.928942;0.000117776
299;5.917362;0.000120959
300;5.877252;0.000132662
301;5.877353;0.000132632
302;5.954434;0.000111062
303;5.976272;0.000105616
304;5.963458;0.000108778
305;5.959421;0.000109794
306;5.919028;0.000120496
307;5.915354;0.00012152
308;5.915396;0.000121508
309;5.854678;0.00013974
310;5.886182;0.000129962
311;5.916067;0.00012132
312;5.901191;0.000125548
313;5.882977;0.000130925
314;5.849111;0.000141543
315;5.862851;0.000137135
316;5.880371;0.000131713
317;5.902328;0.00012522
318;5.933245;0.000116615
319;5.971837;0.0001067
320;5.951722;0.000111758
321;5.943562;0.000113878
322;5.923724;0.0001192
323;5.96043;0.000109539
324;5.940105;0.000114788
325;5.956859;0.000110444
326;5.969605;0.000107249
327;5.902197;0.000125257
328;5.936856;0.00011565
329;5.983205;0.000103943
330;5.987984;0.000102805
331;6.02548;9.43018E-05
332;5.922003;0.000119673
